Curtis Brown,Jets,2015,1,"$660,000","$660,000"
Rashad Carmichael,Cardinals,2015,1,"$660,000","$660,000"
Corey White,Cardinals,2015,1,"$660,000","$660,000"
Curtis Marsh,Broncos,2015,1,"$660,000","$660,000"
Tray Walker,Ravens,2015,4,"$2,625,688","$656,422"
Trevin Wade,Giants,2015,2,"$1,260,000","$630,000"
Josh Aubrey,Titans,2015,2,"$1,260,000","$630,000"
Brandon McGee,Giants,2015,2,"$1,260,000","$630,000"
Chris Lewis-Harris,Ravens,2015,2,"$1,260,000","$630,000"
Jonte Green,Cardinals,2015,2,"$1,260,000","$630,000"
Leon McFadden,Giants,2015,2,"$1,260,000","$630,000"
Shaun Prater,Colts,2015,2,"$1,260,000","$630,000"
B.W. Webb,Titans,2015,2,"$1,260,000","$630,000"
Richard Crawford,Chargers,2015,2,"$1,260,000","$630,000"
Bobby McCain,Dolphins,2015,4,"$2,508,288","$627,072"
Tony Lippett,Dolphins,2015,4,"$2,494,764","$623,691"
Lorenzo Doss,Broncos,2015,4,"$2,477,212","$619,303"
Damian Swann,Saints,2015,4,"$2,467,232","$616,808"
Tye Smith,Seahawks,2015,4,"$2,446,252","$611,563"
Tevin Mitchel,IND/WAS,2015,4,"$2,413,164","$603,291"
Charles Gaines,Browns,2015,4,"$2,402,136","$600,534"
JaCorey Shepherd,Eagles,2015,4,"$2,401,112","$600,278"
Terrance Mitchell,HOU/DAL,2015,3,"$1,800,000","$600,000"
Shaun Prater,Broncos,2015,1,"$585,000","$585,000"
C.J. Wilson,Buccaneers,2015,1,"$585,000","$585,000"
Dwight Bentley,Lions,2015,1,"$585,000","$585,000"
Brandon McGee,Rams,2015,1,"$585,000","$585,000"
Rashaan Melvin,NE/BAL,2015,1,"$585,000","$585,000"
Jonte Green,Bills,2015,1,"$585,000","$585,000"
Shaun Prater,Vikings,2015,1,"$585,000","$585,000"
Ifo Ekpre-Olomu,Dolphins,2015,4,"$2,337,300","$584,325"
Dexter McDonald,Raiders,2015,4,"$2,336,852","$584,213"
Darryl Roberts,Jets,2015,4,"$2,334,224","$583,556"
Chris Greenwood,Lions,2015,1,"$570,000","$570,000"
Chris Davis,49ers,2015,2,"$1,110,000","$555,000"
Brandon Smith,Cowboys,2015,2,"$1,110,000","$555,000"
Tramain Jacobs,Raiders,2015,2,"$1,110,000","$555,000"
Rod Sweeting,Cowboys,2015,2,"$1,110,000","$555,000"
Jeremy Harris,Commanders,2015,3,"$1,650,000","$550,000"
Justin Coleman,NE/MIN,2015,3,"$1,590,000","$530,000"
Delvin Breaux,Saints,2015,3,"$1,587,000","$529,000"
Ladarius Gunter,GB/CAR,2015,3,"$1,580,000","$526,667"
Quinton Dunbar,Commanders,2015,3,"$1,579,500","$526,500"
Cam Thomas,Bills,2015,3,"$1,577,000","$525,667"
Josh Mitchell,Colts,2015,3,"$1,577,000","$525,667"
Jason Wilson,Cowboys,2015,3,"$1,576,000","$525,333"
Jeremy Crayton,Seahawks,2015,3,"$1,575,000","$525,000"
Raymon Taylor,Colts,2015,3,"$1,575,000","$525,000"
Chris Greenwood,Cowboys,2015,2,"$1,050,000","$525,000"
C.J. Conway,Giants,2015,3,"$1,575,000","$525,000"
DreQuan Hoskey,Commanders,2015,3,"$1,575,000","$525,000"
Quinton Dunbar,Commanders,2015,3,"$1,575,000","$525,000"
Joe Rankin,Browns,2015,3,"$1,575,000","$525,000"
Ethan Davis,Lions,2015,3,"$1,575,000","$525,000"
Will Brown,Titans,2015,3,"$1,575,000","$525,000"
Ross Cockrell,Steelers,2015,1,"$510,000","$510,000"
Jumal Rolle,Ravens,2015,1,"$510,000","$510,000"
Tay Glover-Wright,Colts,2015,2,"$960,000","$480,000"
Darren Woodard,Cardinals,2015,2,"$960,000","$480,000"
Shaquille Richardson,Cardinals,2015,2,"$960,000","$480,000"
Travis Howard,Falcons,2015,2,"$960,000","$480,000"
Jimmy Legree,Cardinals,2015,2,"$960,000","$480,000"
Doran Grant,Steelers,2015,2,"$960,000","$480,000"
Merrill Noel,Bills,2015,3,"$1,425,000","$475,000"
Darryl Roberts,Patriots,2015,1,"$448,556","$448,556"
Denzel Rice,Eagles,2015,1,"$435,000","$435,000"
Shaquille Richardson,Chiefs,2015,1,"$435,000","$435,000"
Jordan Mabin,Chargers,2015,1,"$435,000","$435,000"
Kendall James,Browns,2015,1,"$435,000","$435,000"
Jordan Sullen,Steelers,2015,1,"$435,000","$435,000"
Jocquel Skinner,Lions,2015,1,"$435,000","$435,000"
Justin Coleman,Patriots,2015,1,"$435,000","$435,000"
Lavelle Westbrooks,Bills,2015,1,"$435,000","$435,000"
Ross Weaver,Cardinals,2015,1,"$435,000","$435,000"
Marc Anthony,Eagles,2015,1,"$435,000","$435,000"
De'Ante Saunders,Browns,2015,1,"$435,000","$435,000"
Landon Feichter,Browns,2015,1,"$435,000","$435,000"
Travis Manning,Saints,2015,1,"$435,000","$435,000"
Bennett Jackson,Giants,2015,1,"$435,000","$435,000"
Dimitri Patterson,Commanders,2015,3,"$925,000","$308,333"
Asa Jackson,Ravens,2015,1,"$126,480","$126,480"
Jeremy Harris,Chiefs,2015,1,"$112,200","$112,200"
Stanley Jean-Baptiste,Lions,2015,1,"$112,200","$112,200"
B.W. Webb,Titans,2015,1,"$112,200","$112,200"
Jaylen Watkins,Bills,2015,1,"$112,200","$112,200"
Keon Lyn,Jets,2015,1,"$112,200","$112,200"
Asa Jackson,Bengals,2015,1,"$112,200","$112,200"
Isaiah Frey,Buccaneers,2015,1,"$112,200","$112,200"
Brandon McGee,NYG/LAR,2015,1,"$112,200","$112,200"
Stanley Jean-Baptiste,Seahawks,2015,1,"$112,200","$112,200"
Quinton Dunbar,Commanders,2015,1,"$112,200","$112,200"
Justin Coleman,Seahawks,2015,1,"$112,200","$112,200"
Kendall James,Browns,2015,1,"$112,200","$112,200"
Rashaan Melvin,Patriots,2015,1,"$112,200","$112,200"
Brandon McGee,Cowboys,2015,1,"$112,200","$112,200"
Terrance Mitchell,Cowboys,2015,1,"$112,200","$112,200"
Brandon Dixon,Seahawks,2015,1,"$112,200","$112,200"
Shaquille Richardson,Titans,2015,1,"$112,200","$112,200"
Leon McFadden,Cardinals,2015,1,"$112,200","$112,200"
Brandon Dixon,Saints,2015,1,"$112,200","$112,200"
Kendall James,Lions,2015,1,"$112,200","$112,200"
Jeremy Harris,Jets,2015,1,"$112,200","$112,200"
Terrance Mitchell,Bears,2015,1,"$112,200","$112,200"
Chris Greenwood,Patriots,2015,1,"$112,200","$112,200"
Richard Crawford,Chargers,2015,1,"$112,200","$112,200"
Leon McFadden,Giants,2015,1,"$112,200","$112,200"
Ras-I Dowling,Panthers,2015,1,"$112,200","$112,200"
Doran Grant,Steelers,2015,1,"$112,200","$112,200"
Isaiah Frey,Steelers,2015,1,"$112,200","$112,200"
Brandon Dixon,Patriots,2015,1,"$112,200","$112,200"
Jeremy Harris,Commanders,2015,1,"$112,200","$112,200"
Brandon Dixon,Colts,2015,1,"$112,200","$112,200"
Josh Norman,Commanders,2016,5,"$75,000,000","$15,000,000"
Janoris Jenkins,NYG/NO,2016,5,"$62,500,000","$12,500,000"
Darius Slay,Lions,2016,4,"$48,000,000","$12,000,000"
Robert Alford,Falcons,2016,4,"$38,000,000","$9,500,000"
Sean Smith,Raiders,2016,4,"$38,000,000","$9,500,000"
David Amerson,Raiders,2016,4,"$33,000,000","$8,250,000"
Adam Jones,Bengals,2016,3,"$22,000,000","$7,333,333"
Brent Grimes,Buccaneers,2016,2,"$13,500,000","$6,750,000"
Jalen Ramsey,JAX/LAR,2016,4,"$23,350,998","$5,837,750"
Jeremy Lane,HOU/SEA,2016,4,"$23,000,000","$5,750,000"
Brandon Carr,Cowboys,2016,1,"$5,500,000","$5,500,000"
Prince Amukamara,Jaguars,2016,1,"$5,500,000","$5,500,000"
Casey Hayward,Chargers,2016,3,"$15,300,000","$5,100,000"
Coty Sensabaugh,Rams,2016,3,"$14,850,000","$4,950,000"
Jamar Taylor,Browns,2016,3,"$14,400,000","$4,800,000"
Patrick Robinson,Colts,2016,3,"$14,000,000","$4,666,667"
Shareece Wright,Ravens,2016,3,"$13,000,000","$4,333,333"
Tracy Porter,Bears,2016,3,"$12,000,000","$4,000,000"
Eli Apple,NYG/NO,2016,4,"$15,152,320","$3,788,080"
Chris Culliver,Dolphins,2016,1,"$3,575,000","$3,575,000"
Vernon Hargreaves,TB/HOU,2016,4,"$14,177,654","$3,544,414"
Leodis McKelvin,Eagles,2016,2,"$6,200,000","$3,100,000"
Antonio Cromartie,Colts,2016,1,"$3,000,000","$3,000,000"
Morris Claiborne,Cowboys,2016,1,"$3,000,000","$3,000,000"
Terence Newman,Vikings,2016,1,"$2,500,000","$2,500,000"
William Gay,Steelers,2016,3,"$7,500,000","$2,500,000"
William Jackson III,Bengals,2016,4,"$9,705,642","$2,426,411"
Artie Burns,Steelers,2016,4,"$9,590,984","$2,397,746"
Nolan Carroll,Eagles,2016,1,"$2,360,000","$2,360,000"
Johnson Bademosi,NE/DET,2016,2,"$4,500,000","$2,250,000"
Brice McCain,Titans,2016,2,"$4,400,000","$2,200,000"
Josh Robinson,Buccaneers,2016,1,"$2,000,000","$2,000,000"
Marcus Sherels,Vikings,2016,2,"$4,000,000","$2,000,000"
Ron Brooks,Eagles,2016,3,"$5,550,000","$1,850,000"
Jerraud Powers,Ravens,2016,1,"$1,750,000","$1,750,000"
Xavien Howard,Dolphins,2016,4,"$6,128,038","$1,532,010"
Kyle Arrington,Ravens,2016,2,"$3,000,000","$1,500,000"
Leon Hall,Giants,2016,1,"$1,500,000","$1,500,000"
Sherrick McManis,Bears,2016,2,"$2,850,000","$1,425,000"
Mackensie Alexander,Vikings,2016,4,"$4,316,308","$1,079,077"
Cyrus Jones,Patriots,2016,4,"$4,006,702","$1,001,676"
Coty Sensabaugh,Giants,2016,1,"$1,000,000","$1,000,000"
James Bradberry,Panthers,2016,4,"$3,960,836","$990,209"
Cortland Finnegan,Saints,2016,1,"$985,000","$985,000"
Will Redmond,49ers,2016,4,"$3,541,704","$885,426"
Alan Ball,Cardinals,2016,1,"$885,000","$885,000"
Tony Carter,Saints,2016,1,"$885,000","$885,000"
Mike Jenkins,Cardinals,2016,1,"$885,000","$885,000"
KeiVarae Russell,Bengals,2016,4,"$3,363,128","$840,782"
Kyle Wilson,Saints,2016,1,"$840,000","$840,000"
Sterling Moore,Bills,2016,1,"$840,000","$840,000"
Greg Toler,Commanders,2016,1,"$840,000","$840,000"
Jamell Fleming,Chiefs,2016,1,"$840,000","$840,000"
E.J. Biggers,Patriots,2016,1,"$840,000","$840,000"
Darrin Walls,Lions,2016,1,"$840,000","$840,000"
Corey White,Bills,2016,1,"$840,000","$840,000"
Brandon Boykin,Panthers,2016,1,"$840,000","$840,000"
