player,team,archetype,archetype_stable,latest_season,latest_grade,latest_cov_grade,qb_rating_against,yards_per_cov_snap,playmaking_rate,outside_rate,slot_rate,old_apy,est_cap_units_median,est_apy_low,est_apy_mid,est_apy_high,comparable_n,used_grade_band,mkt_cap_units_median,mkt_apy_low,mkt_apy_mid,mkt_apy_high,mkt_comparable_n,used_grade_band_mkt,market_premium_pct
Asante Samuel Jr.,Steelers,Playmaking outside CB,True,2023,73.9,75.6,98.0,1.1,0.1529411764705882,0.918091809180918,0.0216021602160216,315000.0,1.6714841986455982,1850587.6536986304,5034510.406320541,13173250.564334087,93,True,4.225978647686833,8121299.775503263,12728647.686832739,19767786.431137394,51,True,2.5544944490412345
Eli Ricks,Eagles,Playmaking outside CB,True,2023,45.3,43.5,84.3,1.0,0.054054054054054,0.4810126582278481,0.4556962025316455,234000.0,1.3463380379165337,1672555.0233438418,4055170.1702045994,11966962.698533377,210,False,4.225978647686833,5949209.932279909,12728647.686832739,20397291.196388263,97,False,2.879640609770299
Rasul Douglas,Dolphins,Playmaking outside CB,False,2025,72.7,72.6,72.6,0.9,0.1466666666666666,0.8437132784958872,0.0423031727379553,1572500.0,1.5974187035069076,1762454.78772346,4811425.134962806,12911605.93110521,102,True,4.170364888177502,6486339.776656295,12561139.043190638,20299296.771361336,54,True,2.5729461846705948
Ronald Darby,Texans,Replacement-level CB,False,2024,61.7,61.0,128.8,1.6,0.064516129032258,0.8543247344461306,0.0273141122913505,2000000.0,0.849321670428894,1369283.8443804036,2558156.8713318286,9348758.465011286,81,True,4.026,7835313.558352486,12126312.0,20348394.738251407,31,True,3.176678329571106
Shaun Wade,Bears,Replacement-level CB,True,2023,62.2,59.1,103.8,1.4,0.0294117647058823,0.8419540229885057,0.0747126436781609,1100000.0,0.8449298073566179,1363289.501440922,2544928.5797581333,8979683.917251615,82,True,4.026,7835313.558352486,12126312.0,20348394.738251407,31,True,3.1810701926433818
Cameron Dantzler,Dolphins,Replacement-level CB,False,2022,63.1,64.7,113.0,1.3,0.1,0.9366336633663368,0.0,1170000.0,0.8405379442843419,1368221.976945245,2531700.288184438,9348758.465011286,77,True,4.026,7872460.2739726035,12126312.0,20822234.762979683,29,True,3.185462055715658
Ambry Thomas,Eagles,Replacement-level CB,True,2023,61.5,61.5,99.5,1.2,0.1076923076923077,0.9214659685863874,0.0157068062827225,315000.0,0.849321670428894,1374803.276144783,2558156.8713318286,8610609.369491944,83,True,4.026,7835313.558352486,12126312.0,20348394.738251407,31,True,3.176678329571106
Xavien Howard,Colts,Playmaking outside CB,True,2023,55.1,51.9,86.7,1.1,0.1267605633802817,0.8977119784656796,0.0040376850605652,2785000.0,0.874255213364668,1458744.487134257,2633256.7026543804,5681016.540997198,74,True,3.9851222104144526,5361633.110710282,12003188.097768331,19247122.763517257,27,True,3.1108669970497846
Bryce Hall,Buccaneers,Playmaking outside CB,False,2021,63.2,64.5,101.5,1.0,0.1505376344086021,0.8189581554227157,0.0008539709649871,396000.0,0.9642863974495218,1527437.7224199288,2904430.6291179596,10488472.622478386,133,True,3.9851222104144526,5949209.932279909,12003188.097768331,20260477.131591335,59,True,3.020835812964931
Rock Ya-Sin,Lions,Playmaking outside CB,False,2025,62.8,64.8,77.7,0.8,0.1,0.795417348608838,0.0540098199672667,1170000.0,0.9589041095890412,1540858.0726871162,2888219.178082192,9900598.038204398,131,True,3.9791907722102535,5949209.932279909,11985322.605897283,20544726.635348506,56,True,3.0202866626212126
Josh Jobe,Seahawks,Playmaking outside CB,True,2025,57.6,52.9,74.1,0.9,0.1145833333333333,0.8771367521367521,0.0202991452991453,2000000.0,0.8847501369863014,1478304.7583166359,2664867.41260274,5811101.628762609,99,True,3.9677304054329596,5590394.145080243,11950803.981164074,19368160.234542627,36,True,3.0829802684466583
Anthony Averett,Texans,Playmaking outside CB,False,2021,56.3,55.0,79.1,1.5,0.1182795698924731,0.8574969021065675,0.0656753407682775,1170000.0,0.874255213364668,1473744.3340293781,2633256.7026543804,5590394.145080243,86,True,3.950338600451467,5361633.110710282,11898419.864559818,18335565.71523498,31,True,3.076083387086799
