player,team,fa_type,age,archetype,archetype_stable,latest_season,latest_grade,latest_cov_grade,qb_rating_against,yards_per_cov_snap,playmaking_rate,outside_rate,slot_rate,current_apy,est_cap_units_median,est_apy_low,est_apy_mid,est_apy_high,comparable_n,used_grade_band,mkt_cap_units_median,mkt_apy_low,mkt_apy_mid,mkt_apy_high,mkt_comparable_n,used_grade_band_mkt,market_premium_pct
Roger McCreary,Lions,UFA,27,Slot specialist,True,2025,72.1,72.0,108.1,1.1,0.088235294117647,0.1298076923076923,0.6971153846153846,1402500.0,0.9798087141339,1468275.3383727663,3203974.495217853,9075694.565518374,79,True,3.574115688487585,8687566.418703506,11687358.301354403,13734989.909182644,29,True,2.5943069743536853
Deonte Banks,Giants,UFA,26,Replacement-level CB,True,2025,42.4,45.0,149.7,1.3,0.03125,0.8496732026143791,0.0522875816993464,3394851.0,0.6868765708131208,1614478.6425851895,2246086.386558905,5714513.082744703,54,True,3.4537725823591923,5859057.562076749,11293836.344314558,17021917.80821918,17,True,2.7668960115460717
Michael Carter II,Eagles,Void,28,Slot specialist,True,2023,80.4,83.3,73.6,0.6,0.0701754385964912,0.0432190760059612,0.8509687034277198,2765000.0,1.1455331412103746,1694600.005479452,3745893.371757925,10198313.140172279,29,True,3.3252681352216937,8697614.315806989,10873626.802174937,13223082.007225582,14,True,2.1797349940113193
Ja'Quan McMillian,Broncos,UFA,27,Slot specialist,True,2025,80.8,78.9,77.3,0.9,0.074074074074074,0.0217917675544794,0.9031476997578692,5767000.0,1.3565072719866964,1768270.2193413933,4435778.779396497,10535969.971173609,28,True,3.3252681352216937,8697614.315806989,10873626.802174937,13223082.007225582,14,True,1.9687608632349973
Brandin Echols,Steelers,UFA,30,Slot specialist,False,2025,63.1,63.5,92.8,1.6,0.0821917808219178,0.2574955908289241,0.6437389770723104,3000000.0,0.5869431009219966,1342642.1054729011,1919303.940014929,5724841.193174972,110,True,3.105047093590322,6517354.132397053,10153503.996040354,13087349.067067763,32,True,2.5181039926683253
Greg Newsome II,Giants,UFA,27,Replacement-level CB,True,2025,54.3,55.3,109.0,1.3,0.0384615384615384,0.9092039800995024,0.0186567164179104,8000000.0,0.6903874867527574,1469535.3489749453,2257567.0816815165,5869052.342330979,122,True,2.957137092056031,6165582.903938314,9669838.291023223,16766660.77609321,38,True,2.2667496053032736
Dax Hill,Bengals,UFA,27,Slot specialist,True,2025,64.9,67.7,95.0,1.0,0.0823529411764705,0.4041501976284585,0.3616600790513834,2916755.0,0.6111911623439001,1352581.945367458,1998595.1008645534,5631177.048271651,107,True,2.922422954303932,6435313.713835479,9556323.060573857,12684143.537063407,31,True,2.311231791960032
Kader Kohou,Chiefs,UFA,29,Slot specialist,True,2024,64.5,68.9,76.0,0.7,0.078125,0.2641242937853107,0.6398305084745762,1810000.0,0.6173901635647265,1356645.0976281706,2018865.834856656,5427240.406320541,110,True,2.922422954303932,6435313.713835479,9556323.060573857,12684143.537063407,31,True,2.3050327907392054
Kenny Moore II,Colts,Void,32,Slot specialist,True,2025,66.7,62.1,89.2,1.3,0.0606060606060606,0.0391608391608391,0.8083916083916084,10000000.0,0.623589164785553,1375731.7660142349,2039136.5688487582,5921593.578700078,105,True,2.902133667353695,6517354.132397053,9489977.092246583,13202237.827313585,32,True,2.278544502568142
Mekhi Blackmon,Colts,UFA,28,Average outside CB,False,2025,51.2,46.1,93.2,1.2,0.0606060606060606,0.8022959183673469,0.0880102040816326,1326021.0,0.86399587611107,1466516.6681400111,2825266.514883199,5674624.916163135,58,True,2.8386844166014096,5674624.916163135,9282498.04228661,18233904.1180417,20,True,1.9746885404903396
Marlon Humphrey,Ravens,Void,31,Replacement-level CB,False,2025,50.1,43.8,90.9,1.7,0.1122448979591836,0.5073947667804323,0.3344709897610921,19500000.0,0.6171846830108805,1448691.0954181496,2018193.9134455791,5266066.765907595,102,True,2.6067946518668013,6119881.450584483,8524218.51160444,14915069.370634643,27,True,1.9896099688559208
Mike Ford,Falcons,UFA,32,Replacement-level CB,True,2018,49.0,43.5,128.6,2.0,0.0294117647058823,0.8639240506329114,0.0949367088607595,4000000.0,0.6422235616438356,1469172.5978647685,2100071.0465753423,5375342.465753424,101,True,2.5441915142139,6025736.760338528,8319506.251479453,14372159.216094315,28,True,1.9019679525700643
